time,close,CVD (Apertura),CVD (Máximo,CVD (Mínimo),CVD (Cerrar),OnBalanceVolume,MFI,Signal,Histogram,MFI/Signal Crossover,MFI/Signal Crossunder,Plot,Plot,EMA of vfi,vfi
1772809610,672.69,-364667,-364667,-365056,-365056,-2046868,36.54293012812491,35.48650162423455,,,,0,,1.8591297109419016,2.869401296188533
1772809620,672.8,-365056,-365056,-370306,-370165,-2038519,29.862607546369873,34.36172280866161,,,29.862607546369873,0,,1.2949983282597919,0.1667355628955722
1772809630,672.35,-370165,-370118,-373320,-373089,-2042179,24.4282086501524,32.37501997695977,,,,0,,0.9490555825624526,0.25717009116777384
1772809640,672.57,-373089,-372987,-373616,-373485,-2040811,29.3534163339975,31.770699248367315,,,,0,,1.0267395760873215,1.182107563137059
1772809650,672.44,-373485,-371216,-373978,-371809,-2044869,29.620648594483228,31.340689117590497,,,,0,,1.08025237202185,1.1872779638909072
1772809660,672.29,-371809,-371809,-372964,-372964,-2046468,30.986260172427066,31.26980332855781,,,,0,,1.0455343274428741,0.9760982382849227
1772809670,672.16,-372964,-372962,-376297,-375814,-2050664,40.40385842881977,33.0966143486102,,40.40385842881977,,0,,0.838845181147577,0.4254668885569827
1772809680,671.98,-375814,-375729,-376476,-376113,-2053321,41.76843913530953,34.830979305950066,,,,0,,0.8896076393393955,0.9911325557230323
1772809690,671.82,-376113,-375764,-379083,-378380,-2057692,30.41859062249091,33.948501569258234,,,30.41859062249091,0,,1.0340306190952966,1.322876578607099
1772809700,672.03,-378380,-378380,-380577,-380038,-2054798,33.44747351250675,33.848295957907936,,,,0,,1.859324024996143,3.509910836797835
1772809710,671.999,-380038,-378527,-380174,-378550,-2057296,32.61207410858081,33.60105158804251,,,,0,,2.5345166830565673,3.8849019991774165
1772809720,671.99,-378550,-378550,-380646,-380646,-2061776,21.266967617223912,31.13423479387879,,,,0,,3.8245271943539754,6.4045482169487915
1772809730,671.835,-380646,-380539,-381614,-380539,-2063963,20.89801058091487,29.086989951286007,,,,0,,5.31257415035522,8.288668062357711
1772809740,671.25,-380539,-380539,-392104,-391917,-2076231,13.10356619425498,25.8903051998798,,,,0,,4.853913982262636,3.9365936460774678
1772809750,671.01,-391917,-391917,-394201,-394201,-2080077,11.570822560565531,23.02640867201695,,,,0,,3.68790830954213,1.3558969641011176
1772809760,671.02,-394201,-394201,-397172,-396533,-2075507,12.374339736053273,20.895994884824212,,,,0,,2.6947856452795977,0.7085403167545332
1772809770,671.04,-396533,-394359,-396773,-394385,-2071387,19.74147146604379,20.66509020106813,,,,0,,1.4190973004424543,-1.1322793892318324
1772809780,671,-394385,-394024,-394948,-394948,-2073950,16.89134189853047,19.910340540560597,,,,0,,0.7673454743508099,-0.5361581778324789
1772809790,671,-394948,-392973,-394948,-394437,-2073950,23.72312409250695,20.672897250949866,,23.72312409250695,,0,,0.5209347909466797,0.02811342413841942
1772809800,671.17,-394437,-394175,-395092,-394867,-2071352,27.861744123890404,22.110666625537974,,,,0,,0.6447168748610086,0.8922810426896663
1772809810,671.07,-394867,-394603,-395732,-395206,-2075755,27.76435928907246,23.24140515824487,,,,0,,0.20252922771071125,-0.6818460665898836
1772809820,671.18,-395206,-394931,-396725,-396474,-2072919,32.61705548762099,25.116535224120092,,,,0,,-0.3200610250611876,-1.3652415306049857
1772809830,671.17,-396474,-396002,-398263,-398002,-2076649,39.55590484659853,28.00440914861578,,,,0,,-1.4634203995307749,-3.7501391484699496
1772809840,671.04,-398002,-398002,-401401,-401335,-2080922,33.639405878771655,29.131408494646955,,,,0,,-3.2173596014982833,-6.7252380054333
1772809850,670.96,-401335,-401153,-402775,-401153,-2084202,28.952308622721475,29.09558852026186,,,28.952308622721475,0,,-4.003618964791292,-5.576137691377308
1772809860,671.13,-401153,-399874,-401173,-399954,-2081835,34.19676860079042,30.115824536367573,,34.19676860079042,,0,,-4.8100833064762,-6.423011989846015
1772809870,671.49,-399954,-398943,-401622,-401104,-2075845,41.935484532910095,32.479756535676074,,,,0,,-5.441609508306838,-6.704661911968115
1772809880,671.56,-401104,-398938,-401104,-399053,-2071660,56.358312695986285,37.25546776773812,,,,0,,-5.404561415282272,-5.330465229233139
1772809890,671.659,-399053,-398894,-399212,-398981,-2070554,61.679938114737915,42.14036183713808,,,,0,,-5.022594216580537,-4.258659819177067
1772809900,671.56,-398981,-398852,-399619,-399619,-2071736,66.17901038925439,46.94809154756134,,,,0,,-5.149131587361847,-5.402206328924465
1772809910,671.99,-399619,-396510,-399716,-396510,-2068427,65.58051086470536,50.674575410990144,,,,0,,-4.622697684646185,-3.5698298792148613
1772809920,672.1,-396510,-392452,-397126,-397126,-2058857,75.03990939203246,55.54764220719861,,,,0,,-3.472385360003305,-1.1717607107175456
1772809930,672.31,-397126,-392675,-397327,-392766,-2053493,75.77206030830475,59.592525827419834,,,,0,,-2.6631690823723235,-1.0447365271103604
1772809940,672.46,-392766,-392406,-394407,-394407,-2050808,75.81316183284076,62.83665302850402,,,,0,,-2.347278380686414,-1.7154969773145958
1772809950,672.49,-394407,-393939,-395506,-394617,-2046630,83.85461778672473,67.04024598014816,,,,0,,-2.413887771531029,-2.547106553220259
1772809960,672.49,-394617,-394617,-397402,-394670,-2046630,74.02428417301857,68.43705361872225,,,,0,,-3.1078904195677737,-4.495895715641264
1772809970,672.4,-394670,-393160,-397806,-397806,-2052922,64.63581202135475,67.67680529924874,,,64.63581202135475,0,,-4.302900881398184,-6.6929218050590045
1772809980,672.44,-397806,-395785,-397806,-395785,-2048367,71.8903767144995,68.5195195822989,,71.8903767144995,,0,,-5.3639000179401,-7.4858982910239344
1772809990,672.76,-395785,-393606,-395925,-394053,-2044329,77.61164347936199,70.33794436171152,,,,0,,-5.209033769568127,-4.899301272824182
1772810000,672.73,-394053,-392319,-395035,-394064,-2051334,79.1971526188638,72.10978601314197,,,,0,,-5.073257271397322,-4.801704275055712
1772810010,672.82,-394064,-394064,-394485,-394371,-2050337,75.84206923106653,72.85624265672688,,,,0,,-5.037054657472951,-4.964649429624209
1772810020,672.87,-394371,-393684,-394371,-393863,-2049409,74.4733947996709,73.17967308531568,,,,0,,-4.024082043407961,-1.9981368152779801
1772810030,673.18,-393863,-391013,-393863,-392389,-2043583,76.4163888899639,73.82701624624532,,,,0,,-2.6702779861253463,0.03733012843988235
1772810040,672.77,-392389,-391838,-396244,-395355,-2050441,70.01087555060394,73.06378810711705,,,70.01087555060394,0,,-1.7309605173656208,0.14767442015383034
1772810050,672.69,-395355,-394408,-396140,-395251,-2054129,64.76763925881782,71.4045583374572,,,,0,,-1.0146254994762725,0.4180445363024239
1772810060,672.72,-395251,-390404,-395251,-390412,-2047790,63.019539820966536,69.72755463415908,,,,0,,-0.8724364155265947,-0.5880582476272391
1772810070,673.04,-390412,-389374,-390560,-390019,-2045797,60.99698095221201,67.98143989776966,,,,0,,-0.6621866682240625,-0.2416871736189979
1772810080,672.89,-390019,-389827,-390975,-390175,-2048177,60.80409063498122,66.54597004521197,,,,0,,-0.20734559891951299,0.702336539689586
1772810090,673.22,-390175,-389272,-390781,-389272,-2044586,60.42713832457749,65.32220370108507,,,,0,,0.104034536294828,0.72679480672351
1772810100,673.23,-389272,-388458,-391476,-388458,-2039204,70.21687623112128,66.30113820709231,,70.21687623112128,,0,,0.9100026020317067,2.5219387335054644
1772810110,673.2,-388458,-388458,-389692,-388933,-2043367,80.01103557593181,69.0431176808602,,,,0,,1.6979321776532383,3.273791328896302
1772810120,673.41,-388933,-388933,-392364,-389898,-2036862,80.66609112141484,71.36771236897113,,,,0,,2.6039663697897533,4.416034754062784
1772810130,673.19,-389898,-389798,-391775,-391703,-2039593,75.55506644111672,72.20518318340025,,,,0,,3.201282608257496,4.395915085192981
1772810140,673.11,-391703,-391117,-392595,-391562,-2042728,68.06961119702937,71.37806878612608,,,68.06961119702937,0,,3.415043066457914,3.84256398285875
1772810150,673.33,-391562,-390086,-391562,-390738,-2039906,70.87353163455346,71.27716135581156,,,,0,,3.72242024976074,4.337174616366392
